ID_REF	control_13_VALUE
221583_s_at	4
221582_at	210.9
221581_s_at	312.2
221580_s_at	50.6
221579_s_at	87
221578_at	7.9
221577_x_at	26.6
221576_at	3.7
221575_at	158.6
221573_at	12.3
221572_s_at	18.4
221571_at	106.7
221570_s_at	37.9
221569_at	83.2
221568_s_at	21.1
221567_at	25
221566_s_at	6.6
221565_s_at	205.6
221564_at	125.4
221563_at	9.3
221562_s_at	62.8
221561_at	37
221560_at	21.3
221559_s_at	72.5
221558_s_at	448.5
221557_s_at	50.6
221556_at	112.8
221555_x_at	129.4
221554_at	101
221553_at	74.9
221552_at	12.2
221551_x_at	129.3
221550_at	12.3
221549_at	156.3
221548_s_at	41.2
221547_at	67.7
221546_at	5.1
221545_x_at	70.7
